ID,Organism,MIBiG_cluster,Molecular formula,Monoisotopic mass,Canonical smiles,Isomeric smiles,Reference,Unnamed: 8,InChIKey,NPAID
A54145,Streptomyces fradiae,BGC0000291,Unknown,Unknown,Unknown,Unknown,,,,
A54145 A,Streptomyces fradiae,BGC0000291,C72H109N17O27,1643.767881,CCC(C)C1NC(=O)C(CCC(=O)O)NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(C(OC)C(=O)O)NC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)CN(C)C(=O)C(NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)C(C)OC1=O,CCC(C)[C@H]1NC(=O)C(CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@@H]([C@@H](OC)C(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)CN(C)C(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)[C@H](C)OC1=O, https://doi.org/10.7164/antibiotics.43.616,,SSLAXQGCYJCORX-ISSMACFRSA-N,NPA020420
A54145 A1,Streptomyces fradiae,BGC0000291,C72H109N17O27,1643.767881,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC1C(=O)N(C)CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C(OC)C(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(C(C)CC)C(=O)OC1C)C(O)C(N)=O,CCCCCCCCCC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C(=O)N[C@H]1C(=O)N(C)CC(=O)N[C@@H](C)C(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H]([C@@H](OC)C(=O)O)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)NC(CCC(=O)O)C(=O)N[C@H](C(C)CC)C(=O)O[C@H]1C)C(O)C(N)=O, https://doi.org/10.7164/antibiotics.43.616,,FHVNZVVZQZCWNH-ISSMACFRSA-N,NPA020421
A54145 B,Streptomyces fradiae,BGC0000291,C73H111N17O27,1657.783531,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC1C(=O)N(C)CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C(OC)C(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)NC(C(C)CC)C(=O)OC1C)C(O)C(N)=O,CCCCCCCCCC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C(=O)N[C@H]1C(=O)N(C)CC(=O)N[C@@H](C)C(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H]([C@@H](OC)C(=O)O)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)N[C@H](C(C)CC)C(=O)O[C@H]1C)C(O)C(N)=O, https://doi.org/10.7164/antibiotics.43.616,,IXYMYSZPMWIOEU-DIHDQWADSA-N,NPA020422
A54145 B1,Streptomyces fradiae,BGC0000291,C73H111N17O27,1657.783531,CCC(C)C1NC(=O)C(C(C)CC(=O)O)NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(C(OC)C(=O)O)NC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)CN(C)C(=O)C(NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)C(C)OC1=O,CCC(C)[C@H]1NC(=O)C(C(C)CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@@H]([C@@H](OC)C(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)CN(C)C(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)[C@H](C)OC1=O, https://doi.org/10.7164/antibiotics.43.616,,CBNVAXBNVYSAHR-DIHDQWADSA-N,NPA020423
A54145 C,Streptomyces fradiae,BGC0000291,C73H111N17O27,1657.783531,CCC(C)CCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC1C(=O)N(C)CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C(OC)C(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)NC(C(C)C)C(=O)OC1C)C(O)C(N)=O,CCC(C)CCCCCCC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C(=O)N[C@H]1C(=O)N(C)CC(=O)N[C@@H](C)C(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H]([C@@H](OC)C(=O)O)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)N[C@H](C(C)C)C(=O)O[C@H]1C)C(O)C(N)=O, https://doi.org/10.7164/antibiotics.43.616,,SYMDORIRMMYSCZ-MBYMUFAPSA-N,NPA020424
A54145 D,Streptomyces fradiae,BGC0000291,C73H111N17O27,1657.783531,CCC(C)CCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC1C(=O)N(C)CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C(OC)C(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(C(C)CC)C(=O)OC1C)C(O)C(N)=O,CCC(C)CCCCCCC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C(=O)N[C@H]1C(=O)N(C)CC(=O)N[C@@H](C)C(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H]([C@@H](OC)C(=O)O)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)NC(CCC(=O)O)C(=O)N[C@H](C(C)CC)C(=O)O[C@H]1C)C(O)C(N)=O, https://doi.org/10.7164/antibiotics.43.616,,VUWZKXRXFYKBQS-MBPFEYAGSA-N,NPA020425
A54145 E,Streptomyces fradiae,BGC0000291,C74H113N17O27,1671.799181,CCC(C)CCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC1C(=O)N(C)CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C(OC)C(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)NC(C(C)CC)C(=O)OC1C)C(O)C(N)=O,CCC(C)CCCCCCC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C(=O)N[C@H]1C(=O)N(C)CC(=O)N[C@@H](C)C(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H]([C@@H](OC)C(=O)O)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)N[C@H](C(C)CC)C(=O)O[C@H]1C)C(O)C(N)=O, https://doi.org/10.7164/antibiotics.43.616,,PULXIWZYVCSTMS-YYVRKWBWSA-N,NPA020426
A54145 F,Streptomyces fradiae,BGC0000291,C71H107N17O27,1629.752231,COC(C(=O)O)C1NC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)CN(C)C(=O)C(NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)C(C)OC(=O)C(C(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CC(N)=O)NC(=O)CNC1=O,CO[C@@H](C(=O)O)[C@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)CN(C)C(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)C(CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)CNC1=O, https://doi.org/10.7164/antibiotics.43.616,,AOLCXKLFRNFESX-REKQDZLOSA-N,NPA020427
Aculeacin A_,Aspergillus aculeatus NRRL 11270,BGC0001220,C50H81N7O16,1035.57398,CCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(C)O)NC(=O)C(C(O)C(O)c2ccc(O)cc2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,CCCCCCCCCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,,,YKPHLXGEPNYRPY-ZIUFDZNVSA-N,
