AA_ABREV,WOLS870101,TSAJ990101,GRAR740102,RADA880108,ZIMJ680103,CHOP780203
-,0,0,0,0,0,0
A,-0.263397976,-0.841297507,1.592227202,0.152679066,-1.653244925,0.36272191
R,-0.146332209,1.231813828,-0.156672242,-0.165402321,0.554212787,-0.716291475
N,1.297478918,0.436317618,-0.776074128,-1.246879038,1.164786197,-0.754827667
D,1.336500841,1.014860317,-0.448155482,-0.610716264,1.164786197,-0.937874581
C,0.907259695,-0.973880209,-1.832700875,-0.610716264,0.554212787,0.805888122
Q,-0.185354131,0.797906805,-0.448155482,-0.165402321,-0.38513092,-1.188359831
E,-0.49752951,0.846118696,0.608471265,-1.246879038,-0.901769959,-1.400308889
G,-1.746231026,1.412608422,-0.776074128,-0.610716264,1.164786197,-0.13824859
H,0.82921585,-1.251098585,0.134810999,0.534376731,0.131508119,0.391624054
I,-1.82427487,0.424264645,0.608471265,1.488620892,-1.653244925,0.902228603
L,-0.965792578,-0.744873724,1.592227202,0.534376731,-0.901769959,0.979300987
K,-0.224376054,0.472476537,0.134810999,-1.246879038,0.131508119,-1.872377245
M,0.399974704,-1.588581826,1.592227202,1.488620892,-0.38513092,1.104543612
F,0.946281617,-1.359575341,0.134810999,1.488620892,-0.901769959,1.364662911
P,0.087799325,0.990754371,-1.832700875,-1.246879038,1.164786197,-0.408001936
S,0.321930859,0.966648425,-0.776074128,-1.246879038,0.554212787,-0.63921909
T,-0.263397976,0.207311134,-0.448155482,0.534376731,0.131508119,-0.581414802
W,1.102369307,-1.468052097,0.608471265,0.152679066,1.164786197,1.509173632
Y,0.712150083,-0.081960216,-0.448155482,0.534376731,0.554212787,0.150772852
V,-1.82427487,-0.491761294,0.93638991,1.488620892,-1.653244925,1.06600742
X,0,0,0,0,0,0
