AA_ABREV,WOLS870101,WOLS870102,WOLS870103,CHOP780201,CHOP780202,CHOP780203
-,0,0,0,0,0,0
A,-0.263397976,-0.469162152,0.239952725,-1.393283813,-0.076008767,0.36272191
R,-0.146332209,-0.481269562,-0.869262703,0.915913471,-0.888027887,-0.716291475
N,1.297478918,-1.135069722,-0.835307129,-0.449169525,-0.925796218,-0.754827667
D,1.336500841,-0.650773307,-1.039040575,-0.747525988,-0.963564549,-0.937874581
C,0.907259695,0.087778725,1.043567985,-0.751613063,1.359187819,0.805888122
Q,-0.185354131,-1.207714184,-0.280699415,0.123020953,-0.916354135,-1.188359831
E,-0.49752951,-0.638665897,-0.971129426,-0.081332789,-1.227942868,-1.400308889
G,-1.746231026,-1.122962311,-0.541025485,-2.059477011,-0.349829168,-0.13824859
H,0.82921585,-0.469162152,-0.744758931,0.212936599,0.245022049,0.391624054
I,-1.82427487,1.480130917,0.545552894,0.625731158,1.198672411,0.902228603
L,-0.965792578,0.644719602,2.560250306,0.625731158,1.142019914,0.979300987
K,-0.224376054,0.184638008,-1.02772205,0.752430478,-1.558415766,-1.872377245
M,0.399974704,0.220960239,1.926412918,0.44998694,0.943736176,1.104543612
F,0.946281617,1.23798271,1.122797658,1.112093064,1.557471557,1.364662911
P,0.087799325,1.153230837,-0.235425315,-0.534998096,-0.415923747,-0.408001936
S,0.321930859,-1.147177132,0.002263705,-1.299281091,-0.888027887,-0.63921909
T,-0.263397976,-1.147177132,-0.144877117,-0.633087893,-0.585881238,-0.581414802
W,1.102369307,2.000749563,-0.224106791,1.990814154,1.142019914,1.509173632
Y,0.712150083,1.068478965,-0.654210732,1.206095785,0.273348297,0.150772852
V,-1.82427487,0.390463984,0.126767478,-0.06498449,0.934294093,1.06600742
X,0,0,0,0,0,0
